thisRow.t,notes,folder,feature,morph_level,response_key,rt,participant,session,date,expName,psychopyVersion,frameRate,
,,app,9,29,left,5.027664399999594,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,99,right,0.790623200000482,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,89,right,0.6984056000001146,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,79,right,0.6614680000002409,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,69,right,0.8913662000004479,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,39,left,4.265859200000705,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,89,right,0.5400005999999848,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,9,left,0.6848261999994065,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,29,left,2.0418278000006467,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,39,right,4.877340699999877,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,9,left,1.3063466000003245,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,89,right,0.4817072999994707,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,99,right,0.5475400000004811,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,19,left,1.0577392999994117,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,9,left,0.7201208000005863,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,89,right,0.7796035999999731,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
